OrderInPreviousSheet	Index_PreviousSheet	SampleSeq	Biological Sample
yanliu_L171207_SW_C8	Index01	C08	Neuro_f22_242K_rep2
yanliu_L171207_SW_C3	Index02	C03	Neuro_f22_192B_rep2
yanliu_L171207_SW_C2	Index03	C02	Neuro_f22_C7_rep2
yanliu_L171207_SW_C5	Index04	C05	Neuro_f22_306O_rep2
yanliu_L171207_SW_B8	Index05	B08	Neuro_f22_242K_rep1
yanliu_L171207_SW_B6	Index06	B06	Neuro_f22_809-1_rep1
yanliu_L171207_SW_C4	Index07	C04	Neuro_f22_CfG_rep2
yanliu_L171207_SW_C1	Index08	C01	Neuro_f22_3391S_rep2
yanliu_L171207_SW_C11	Index09	C11	Neuro_f22_Bu1Cre_rep2
yanliu_L171207_SW_C9	Index10	C09	Neuro_f22_316M_rep2
yanliu_L171207_SW_B5	Index11	B05	Neuro_f22_306O_rep1
yanliu_L171207_SW_B4	Index12	B04	Neuro_f22_CfG_rep1
yanliu_L171207_SW_B11	Index13	B11	Neuro_f22_Bu1Cre_rep1
yanliu_L171207_SW_B3	Index14	B03	Neuro_f22_192B_rep1
yanliu_L171207_SW_B2	Index15	B02	Neuro_f22_C7_rep1
yanliu_L171207_SW_C10b	Index16	C10	Neuro_f22_MIFF3_rep2
yanliu_L171207_SW_C7	Index17	C07	Neuro_f22_809-9_rep2
yanliu_L171207_SW_C6	Index18	C06	Neuro_f22_809-1_rep2
yanliu_L171207_SW_B7	Index19	B07	Neuro_f22_809-9_rep1
yanliu_L171207_SW_B1	Index20	B01	Neuro_f22_3391S_rep1
yanliu_L171207_SW_B9	Index21	B09	Neuro_f22_316M_rep1
yanliu_L171207_SW_B10	Index22	B10	Neuro_f22_MIFF3_rep1
